"S+U Westhafen (Berlin)","13.343323","52.536131","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S+U Wittenau (Berlin)","13.335885","52.596175","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S+U Wuhletal (Berlin)","13.575543","52.512588","Zugang ohne Stufen","Rampe",,"barrier-free",,,,,,,,
"S+U Yorckstr. S1 U7 (Berlin)","13.367644","52.492038",,"Treppe",,"not-barrier-free",,,,,,,,
"S+U Yorckstr. S2 S25 U7 (Berlin)","13.372175","52.492238",,"Treppe",,"not-barrier-free",,,,,,,,
"S+U Zoologischer Garten Bhf (Berlin)","13.332587","52.507364","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"U Adenauerplatz (Berlin)","13.307169","52.499932",,"Rolltreppe",,"not-barrier-free",,,,,,,,
"U Afrikanische Str. (Berlin)","13.334847","52.560184",,"Treppe",,"not-barrier-free",,,,,,,,
"U Alt-Mariendorf (Berlin)","13.387509","52.439675","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"U Altstadt Spandau (Berlin)","13.206241","52.538725",,"Rolltreppe",,"not-barrier-free",,,,,,,,
"U Alt-Tegel (Berlin)","13.284083","52.589237","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"U Alt-Tempelhof (Berlin)","13.385602","52.465729",,"Rolltreppe",,"not-barrier-free",,,,,,,,
"U Amrumer Str. (Berlin)","13.350316","52.542499","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"U Augsburger Str. (Berlin)","13.336415","52.500406",,"Treppe",,"not-barrier-free",,,,,,,,
"U Bayerischer Platz (Berlin)","13.340419","52.488683",,"Rolltreppe","nur U7","not-barrier-free",,,,,,,,
"U Berliner Str. (Berlin)","13.330996","52.487333","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"U Bernauer Str. (Berlin)","13.396795","52.537294","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"U Biesdorf-Süd (Berlin)","13.546565","52.499696","Zugang ohne Stufen","Rampe",,"barrier-free",,,,,,,,
"U Birkenstr. (Berlin)","13.341328","52.532326",,"Treppe",,"not-barrier-free",,,,,,,,
"U Bismarckstr. (Berlin)","13.305277","52.511504","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"U Blaschkoallee (Berlin)","13.449953","52.45256",,"Rolltreppe",,"not-barrier-free",,,,,,,,
"U Blissestr. (Berlin)","13.321614","52.486347",,"Rolltreppe",,"not-barrier-free",,,,,,,,
"U Boddinstr. (Berlin)","13.425352","52.480019",,"Treppe",,"not-barrier-free",,,,,,,,
"U Borsigwerke (Berlin)","13.29036","52.581932",,"Treppe",,"not-barrier-free",,,,,,,,
"U Breitenbachplatz (Berlin)","13.308627","52.466873",,"Treppe",,"not-barrier-free",,,,,,,,
"U Britz-Süd (Berlin)","13.447866","52.437734",,"Rolltreppe",,"not-barrier-free",,,,,,,,
"U Bülowstr. (Berlin)","13.363388","52.497573","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"U Bundestag (Berlin)","13.37345","52.519907","Zugang ohne Stufen","Rampe",,"barrier-free",,,,,,,,
"U Cottbusser Platz (Berlin)","13.596434","52.533848","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"U Dahlem-Dorf (Berlin)","13.289136","52.457072",,"Treppe",,"not-barrier-free",,,,,,,,
"U Deutsche Oper (Berlin)","13.310453","52.511818",,"Treppe",,"not-barrier-free",,,,,,,,
"U Eberswalder Str. (Berlin)","13.412187","52.541732",,"Rolltreppe",,"not-barrier-free",,,,,,,,
"U Eisenacher Str. (Berlin)","13.349824","52.489448",,"Rolltreppe",,"not-barrier-free",,,,,,,,
"U Elsterwerdaer Platz (Berlin)","13.560593","52.505044","Zugang ohne Stufen","Rampe",,"barrier-free",,,,,,,,
"U Ernst-Reuter-Platz (Berlin)","13.322511","52.511492",,"Treppe",,"not-barrier-free",,,,,,,,
"U Fehrbelliner Platz (Berlin)","13.31451","52.490191","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"U Frankfurter Tor (Berlin)","13.453992","52.515834","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"U Franz-Neumann-Platz (Berlin)","13.364038","52.564458",,"Rolltreppe",,"not-barrier-free",,,,,,,,
"U Französische Str. (Berlin)","13.389182","52.514734",,"Treppe",,"not-barrier-free",,,,,,,,
"U Friedrichsfelde (Berlin)","13.513079","52.505800",,"Treppe",,"not-barrier-free",,,,,,,,
"U Friedrich-Wilhelm-Platz (Berlin)","13.328668","52.47143",,"Rolltreppe",,"not-barrier-free",,,,,,,,
"U Gleisdreieck (Berlin)","13.374125","52.499488",,"Treppe",,"not-barrier-free",,,,,,,,
"U Gneisenaustr. (Berlin)","13.396379","52.49118",,"Treppe",,"not-barrier-free",,,,,,,,
"U Görlitzer Bahnhof (Berlin)","13.427831","52.499240",,"Treppe",,"not-barrier-free",,,,,,,,
"U Grenzallee (Berlin)","13.444756","52.462921",,"Treppe",,"not-barrier-free",,,,,,,,
"U Güntzelstr. (Berlin)","13.330885","52.491608",,"Rolltreppe",,"not-barrier-free",,,,,,,,
"U Halemweg (Berlin)","13.286569","52.536693",,"Rolltreppe",,"not-barrier-free",,,,,,,,
"U Hallesches Tor (Berlin)","13.390815","52.497725",,"Rolltreppe",,"not-barrier-free",,,,,,,,
"U Hansaplatz (Berlin)","13.342156","52.518101",,"Rolltreppe",,"not-barrier-free",,,,,,,,
"U Haselhorst (Berlin)","13.232172","52.538354",,"Rolltreppe",,"not-barrier-free",,,,,,,,
"U Hausvogteiplatz (Berlin)","13.395337","52.513351",,"Treppe",,"not-barrier-free",,,,,,,,
"U Heinrich-Heine-Str. (Berlin)","13.416002","52.510407",,"Treppe",,"not-barrier-free",,,,,,,,
"U Hellersdorf (Berlin)","13.606159","52.536524","Zugang ohne Stufen","Rampe",,"barrier-free",,,,,,,,
"U Hermannplatz (Berlin)","13.424283","52.486356","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"U Hohenzollernplatz (Berlin)","13.324825","52.494038",,"Treppe",,"not-barrier-free",,,,,,,,
"U Holzhauser Str. (Berlin)","13.296011","52.575699",,"Rolltreppe",,"not-barrier-free",,,,,,,,
"U Hönow (Berlin)","13.633217","52.538405","Zugang ohne Stufen","Rampe",,"barrier-free",,,,,,,,
"U Jakob-Kaiser-Platz (Berlin)","13.293961","52.53643",,"Rolltreppe",,"not-barrier-free",,,,,,,,
"U Johannisthaler Chaussee (Berlin)","13.453479","52.429477","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"U Kaiserdamm (Berlin)","13.281958","52.509961",,"Rolltreppe",,"not-barrier-free",,,,,,,,
"U Kaiserin-Augusta-Str. (Berlin)","13.384613","52.460047",,"Rolltreppe",,"not-barrier-free",,,,,,,,
"U Karl-Marx-Str. (Berlin)","13.439309","52.476371",,"Treppe",,"not-barrier-free",,,,,,,,
"U Kaulsdorf-Nord (Berlin)","13.588967","52.521027","Zugang ohne Stufen","Rampe",,"barrier-free",,,,,,,,
"U Kleistpark (Berlin)","13.360251","52.490449","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"U Klosterstr. (Berlin)","13.412427","52.517208",,"Treppe",,"not-barrier-free",,,,,,,,
"U Kochstr./Checkpoint Charlie (Berlin)","13.390524","52.506565","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"U Konstanzer Str. (Berlin)","13.308961","52.494669",,"Rolltreppe",,"not-barrier-free",,,,,,,,
"U Kottbusser Tor (Berlin)","13.418274","52.498989","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"U Krumme Lanke (Berlin)","13.241519","52.44351","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"U Kurfürstendamm (Berlin)","13.331383","52.503598",,"Rolltreppe",,"not-barrier-free",,,,,,,,
"U Kurfürstenstr. (Berlin)","13.362071","52.499942",,"Treppe",,"not-barrier-free",,,,,,,,
"U Kurt-Schumacher-Platz (Berlin)","13.326915","52.563251",,"Rolltreppe",,"not-barrier-free",,,,,,,,
"U Leinestr. (Berlin)","13.427895","52.47387",,"Treppe",,"not-barrier-free",,,,,,,,
"U Leopoldplatz (Berlin)","13.359185","52.546426",,"Rolltreppe",,"not-barrier-free",,,,,,,,
"U Lindauer Allee (Berlin)","13.33948","52.575311","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"U Lipschitzallee (Berlin)","13.462908","52.424589","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"U Louis-Lewin-Str. (Berlin)","13.618396","52.538954","Zugang ohne Stufen","Rampe",,"barrier-free",,,,,,,,
"U Magdalenenstr. (Berlin)","13.487359","52.512441",,"Treppe",,"not-barrier-free",,,,,,,,
"U Märkisches Museum (Berlin)","13.409792","52.512213","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"U Mehringdamm (Berlin)","13.389061","52.494694","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"U Mendelssohn-Bartholdy-Park (Berlin)","13.374854","52.503794","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"U Mierendorffplatz (Berlin)","13.304803","52.526148",,"Rolltreppe",,"not-barrier-free",,,,,,,,
"U Möckernbrücke (Berlin)","13.38273","52.499096",,"Rolltreppe","nur zwischen Bahnseite U1 und U7 zum Umsteigen","not-barrier-free",,,,,,,,
"U Mohrenstr. (Berlin)","13.383927","52.511619",,"Treppe",,"not-barrier-free",,,,,,,,
"U Moritzplatz (Berlin)","13.410733","52.503652",,"Treppe",,"not-barrier-free",,,,,,,,
"U Nauener Platz (Berlin)","13.36731","52.551515",,"Rolltreppe",,"not-barrier-free",,,,,,,,
"U Neue Grottkauer Str. (Berlin)","13.590545","52.528445","Zugang ohne Stufen","Rampe",,"barrier-free",,,,,,,,
