lat	lon	title	description	icon	iconSize	iconOffset
38.9306291	-77.0541691		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0659189	-82.4203588		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0659242	-82.4206385		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0661310	-82.4206193		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0661194	-82.4203515		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0612094	-82.4195165		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0592577	-82.4200307		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0590834	-82.4198247		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0590856	-82.4200247		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0612578	-82.4197611		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0610151	-82.4196398		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0611439	-82.4195369		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0592826	-82.4198101		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0625683	-82.4196856		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0613021	-82.4203205		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0612945	-82.4202175		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0649692	-82.4145271		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0655629	-82.4131061		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0648207	-82.4155093		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0648207	-82.4150802		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0648283	-82.4149514		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0648056	-82.4144364		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0648207	-82.4143163		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0648207	-82.4166423		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0648283	-82.4164792		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0659581	-82.4190303		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0665313	-82.4133049		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0666676	-82.4133049		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0658416	-82.4132866		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0661096	-82.4190866		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0661004	-82.4188575		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0659702	-82.4188548		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.066257	-82.4028736		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0662622	-82.4019600		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0672768	-82.4017935		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0664513	-82.4017935		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0662452	-82.4026857		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0599313	-82.4134268		wheelchair node	/images/barrier-free.png	28,34	-8,-8
28.0601359	-82.4088724		wheelchair node	/images/barrier-free.png	28,34	-8,-8
